,Date_time,Compound,Negative,Neutral,News_outlet,Positive,Tweet,Tweet_number
32,2018-05-07 08:03:04+00:00,0.2732,0.0,0.905,BBC,0.095,"From gut microbes to the time you eat, here are five potentially surprising factors that can affect your weight.
?… https://t.co/HhOXDdIGI5",33
33,2018-05-07 07:04:03+00:00,0.0,0.0,1.0,BBC,0.0,"Meet Piers and Magdelena, a deaf couple who run their own B&amp;B. ?????

https://t.co/H2iArXnZex",34
34,2018-05-06 19:01:07+00:00,-0.2755,0.209,0.791,BBC,0.0,"Don't like plastic straws? 
?? Here's a genius solution... https://t.co/79fOaOmak3",35
35,2018-05-06 18:04:07+00:00,-0.8481,0.424,0.414,BBC,0.162,"Thanks to new treatments, a breast cancer diagnosis is no longer the terrifying and hopeless prospect it once was. https://t.co/nosH2xPRAo",36
36,2018-05-06 17:33:00+00:00,0.7351,0.0,0.659,BBC,0.341,The UK loves a cup of tea. ? But are we ready for Kombucha? #TopOfTheShop https://t.co/rMEDCbMnE1,37
37,2018-05-06 16:02:08+00:00,0.0772,0.15,0.68,BBC,0.17,"Enigmatic Escher: Early works by the artist like no other.
? https://t.co/502kn9Kbjb https://t.co/55j3P86gFe",38
38,2018-05-06 15:04:02+00:00,0.5178,0.0,0.697,BBC,0.303,Autism is not stopping this man from keeping the public safe. https://t.co/tdLWWDo2dz,39
39,2018-05-06 14:33:00+00:00,-0.25,0.118,0.882,BBC,0.0,"?? Lauren Zhang struck a chord with the @BBCYoungMus 
judges, taking out the keyboard category final. https://t.co/BVTQV90n4P",40
40,2018-05-06 14:08:09+00:00,0.3094,0.198,0.534,BBC,0.269,"? Is 'Schadenfreude' a happy or sad feeling? Which language has 15 words for fear?

Try your luck in this quiz of u… https://t.co/2ber8ul5pG",41
41,2018-05-06 13:05:04+00:00,0.0,0.0,1.0,BBC,0.0,"Scouse Brow is so on trend, scientists at the University of Liverpool have begun a study on it. https://t.co/daHPnCioiZ",42
42,2018-05-06 12:09:07+00:00,0.0,0.0,1.0,BBC,0.0,"Pollution, construction and insect dung are said to be among the causes of the Taj Mahal changing colour. 
?… https://t.co/Yk6hUcgZHJ",43
43,2018-05-06 11:01:02+00:00,0.0,0.0,1.0,BBC,0.0,Voice recognition tools still have a long way to go to catch up to humans. https://t.co/hge3gjazi3,44
44,2018-05-06 10:08:03+00:00,0.3818,0.0,0.88,BBC,0.12,"?? A hue now associated with innocence once had a murkier meaning. 

@BBC_Culture looks at the ways in which pink h… https://t.co/XlQjlVLxJi",45
45,2018-05-06 09:03:03+00:00,0.0,0.0,1.0,BBC,0.0,? This mesmerising footage shows the lava lake overflowing in Hawaii's Kilauea volcano. https://t.co/xAujfSM2Rw,46
46,2018-05-06 08:25:29+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCNews: Prince Louis and Princess Charlotte seen at home in new photos https://t.co/kfsoZlH50m,47
47,2018-05-06 08:06:03+00:00,0.9042,0.0,0.573,BBC,0.427,?? Eggs are wonderfully versatile and perfect for whipping up fantastic meals in minutes. Try a flavourful frittata… https://t.co/ef4wA2oQpR,48
48,2018-05-06 07:04:07+00:00,-0.5719,0.552,0.448,BBC,0.0,??This is terrifying. https://t.co/wkL9EwcVxs,49
49,2018-05-05 19:05:07+00:00,-0.4215,0.286,0.714,BBC,0.0,?? Making household gas from human waste. https://t.co/8AdUpQJ9Ho,50
50,2018-05-05 18:06:07+00:00,0.1154,0.0,0.925,BBC,0.075,Ashley Butterfield has been around the world - but a visit to India brought home the particular challenges of being… https://t.co/Idl70AX8x2,51
51,2018-05-05 17:02:04+00:00,0.4767,0.0,0.838,BBC,0.162,"??? Making us proud. 

? @SurieOfficial has recorded a sign language version of the UK's @BBCEurovision entry, Stor… https://t.co/7qDvBvReiy",52
52,2018-05-05 16:04:06+00:00,0.0,0.0,1.0,BBC,0.0,"?Seriously, who has been throwing their phone at @NiallOfficial..? ? https://t.co/7NUZ97it7q",53
53,2018-05-05 15:40:16+00:00,0.5434,0.124,0.601,BBC,0.275,"RT @BBCOne: Happy Birthday @Adele ? On your special day, here's a reminder of your most embarrassing moment ? https://t.co/EfmUc8LMar",54
54,2018-05-05 15:01:04+00:00,-0.5994,0.302,0.698,BBC,0.0,Should we be able to choose our own death? https://t.co/QwLojMAoCm,55
55,2018-05-05 14:04:04+00:00,-0.7184,0.231,0.769,BBC,0.0,"? Over the years, the full Moon has been blamed for everything from madness to baby booms.

But can it really affec… https://t.co/kZI4IXGXou",56
56,2018-05-05 13:01:04+00:00,0.0,0.0,1.0,BBC,0.0,"??? After a mastectomy, a bra tattoo changed Linda's life. https://t.co/LejK1NZg4M",57
57,2018-05-05 12:04:04+00:00,0.0,0.0,1.0,BBC,0.0,"?? Wrap up a cheap and tasty, not to mention nutritious, lunch with these recipes for wraps. 
?… https://t.co/ysLlhCO2Hh",58
58,2018-05-05 11:04:03+00:00,0.4215,0.0,0.851,BBC,0.149,?? Humaira Tasnim is inspiring the next generation and breaking down barriers for women in sport. https://t.co/zn77IdfO8K,59
59,2018-05-05 10:06:04+00:00,-0.5719,0.248,0.66,BBC,0.092,?? We now know the reason that hunger causes us to lose our temper. But is it true that women are more susceptible… https://t.co/dxjDlQ59k9,60
60,2018-05-05 09:03:07+00:00,0.3612,0.0,0.783,BBC,0.217,?? This is what coral reefs should sound like. https://t.co/j4gV62nnq9,61
61,2018-05-05 08:06:01+00:00,-0.5106,0.247,0.627,BBC,0.125,"'People with bad consciences always fear the judgment of children.' ~ Mary McCarthy

? The wit and wisdom of five o… https://t.co/t5uiugokJe",62
62,2018-05-05 08:01:17+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCOne: Doesn't he do well?! ??

James Dean Bradfield from @Manics takes on #GigInAMinute. #SoundsLikeFridayNight https://t.co/wUirw9Ug…",63
63,2018-05-04 19:02:04+00:00,-0.8074,0.316,0.684,BBC,0.0,"A young seal is having to be taught to swim upright, after avoiding death from a plastic ring stuck around its neck… https://t.co/t5LUhrNxqG",64
64,2018-05-04 18:01:04+00:00,0.25,0.0,0.778,BBC,0.222,?? Turning parking fines to your advantage.  https://t.co/WUQ365Ip0J,65
65,2018-05-04 17:02:04+00:00,0.0,0.0,1.0,BBC,0.0,How many calories are in your favourite drink? @HughFW investigates the impact of wine and beer. ??… https://t.co/a9lBjKvkkr,66
66,2018-05-04 16:33:00+00:00,0.0,0.0,1.0,BBC,0.0,When your boss calls your name but you're half way out the door... ?#FridayFeeling #BankHolidayWeekend https://t.co/BiSM4oUznR,67
67,2018-05-04 16:00:17+00:00,0.34,0.0,0.769,BBC,0.231,"Too excited for this ?#TheStreets

#SoundsLikeFridayNight |  7.30pm | @BBCOne https://t.co/yEwIEW9jrV",68
68,2018-05-04 15:04:04+00:00,0.0,0.0,1.0,BBC,0.0,"? Philomena Cunk, asking all the big questions. 
#CunkonBritain https://t.co/UItQTPbzYI",69
69,2018-05-04 14:25:56+00:00,0.5423,0.0,0.769,BBC,0.231,"RT @bbcmusic: Interested to see whether @KylieMinogue can top @AnneMarie's incredible #SoundsLikeFridayNight entrance later tbh ?

Watch: 7…",70
70,2018-05-04 13:00:25+00:00,0.1531,0.12,0.736,BBC,0.143,"A site offering to sell ready-made Instagram photos has just popped up.

Would you buy photos to fake the perfect I… https://t.co/iplGpS355p",71
71,2018-05-04 12:21:16+00:00,0.2732,0.0,0.9,BBC,0.1,RT @bbcarts: Visitors to the @britishmuseum get a surprise when @wmarybeard fulfils a lifelong ambition and spends the day as a gallery att…,72
72,2018-05-04 12:00:21+00:00,0.3818,0.121,0.631,BBC,0.248,? It turns out that it's *quite* difficult to keep a straight face while testing laughing gas... https://t.co/vUQwxcTTD7,73
73,2018-05-04 11:00:19+00:00,-0.4019,0.136,0.792,BBC,0.072,"?? From Solo: A Star Wars Story to anime hits and a Pope Francis doc, here are 10 movies worth watching in May. 
?… https://t.co/Xf8Mhkf6bs",74
74,2018-05-04 09:38:41+00:00,0.0,0.0,1.0,BBC,0.0,"? Remember Simon Pegg's starring role in #StarWars?
#MayTheFourth #StarWarsDay https://t.co/bBOY2cQiyI",75
75,2018-05-04 09:33:30+00:00,0.6114,0.0,0.826,BBC,0.174,"RT @BBCArchive: Happy #StarWarsDay! Here's a 1978 clip from Arena featuring Mark Hamill, Gary Kurtz, John Barry and the droids. #MayThe4thB…",76
76,2018-05-04 09:20:39+00:00,0.0,0.0,1.0,BBC,0.0,"RT @BBCTwo: #MayThe4thBeWithYou, Philomena Cunk! ?? #StarWarsDay https://t.co/kOgPEKhO7g",77
77,2018-05-04 08:48:34+00:00,0.0,0.0,1.0,BBC,0.0,RT @bbcpress: BBC announces coverage for the #RoyalWedding across TV and radio: https://t.co/Cq1xFaWxKf https://t.co/BuFurmd4AY,78
78,2018-05-04 08:00:14+00:00,0.5859,0.0,0.774,BBC,0.226,??? This amazing woman lends prom dresses to girls who can't afford them. https://t.co/p8bIGPhYx0,79
79,2018-05-04 07:28:03+00:00,-0.4019,0.124,0.876,BBC,0.0,Much of the focus on plastic pollution centres on our oceans. Emerging evidence shows it’s also a problem in freshw… https://t.co/KdTmh6TssL,80
80,2018-05-04 07:01:01+00:00,-0.5707,0.381,0.619,BBC,0.0,? Snacking doesn't have to be unhealthy! https://t.co/fcOkgs6eR3,81
81,2018-05-04 06:30:00+00:00,0.8074,0.0,0.657,BBC,0.343,"""You have to be best friends""
What advice do you have for Harry and Meghan? ? https://t.co/wiVwqvEP2f",82
82,2018-05-03 19:46:45+00:00,-0.6006,0.178,0.822,BBC,0.0,RT @BBCOne: YOU CHOOSE NUTS OVER BERRIES WHEN MARY BERRY HERSELF IS STANDING IN FRONT OF YOU?!!! ? #BBHC https://t.co/PmHT5ZNpja,83
83,2018-05-03 19:03:04+00:00,-0.5994,0.187,0.813,BBC,0.0,"Tonight, @bbclysedoucet tells the story of the Syrian war through extraordinary testimony from those who have lived… https://t.co/bICaYKRCmt",84
84,2018-05-03 18:34:03+00:00,0.6369,0.0,0.811,BBC,0.189,"????? @ClaudiaWinkle hosts as Mary Berry, @DanDoherty_ and @Chris_Bavin put ten of the nation's best home cooks thr… https://t.co/fhPRqFbtEX",85
85,2018-05-03 18:01:10+00:00,0.0,0.0,1.0,BBC,0.0,You're never too old to do something crazy... EVEN AT 81! https://t.co/CE5V6nws6n,86
86,2018-05-03 17:01:04+00:00,0.0,0.0,1.0,BBC,0.0,??@KewGardens is the largest remaining glasshouse from the Victorian era...but it's more than just a place to keep… https://t.co/CWGllHGJqo,87
87,2018-05-03 16:01:06+00:00,0.1511,0.138,0.688,BBC,0.175,"? There’s no place like gnome for tonight’s @CbeebiesHQ #BedtimeStory with Sir @EltonOfficial! 
 https://t.co/K5V1BFGEdf",88
88,2018-05-03 15:12:08+00:00,0.7964,0.0,0.756,BBC,0.244,"RT @AboutTheBBC: High praise for ????? My Dad, the Peace Deal and Me @PatricKielty @BBCOne you have 2 days left to catch it @BBCiPlayer - h…",89
89,2018-05-03 13:04:01+00:00,0.0,0.0,1.0,BBC,0.0,? The incredible story of how London dug the #VictoriaLine. https://t.co/V4emAUsrVP,90
90,2018-05-03 12:32:57+00:00,0.5994,0.0,0.803,BBC,0.197,RT @BBCr4today: Kew Gardens is currently finding and researching species of plants that can help restore land when the climate changes. @Si…,91
91,2018-05-03 12:31:50+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCTwo: Would you swipe right for Ed? ??? #LoveInTheCountryside @sarajcox https://t.co/LhmVJF463S,92
92,2018-05-03 12:07:40+00:00,-0.4019,0.207,0.69,BBC,0.103,"RT @bbcworldservice: Once condemned as witch doctors, traditional healers are now joining forces with medics in South Africa to help fight…",93
93,2018-05-03 12:02:28+00:00,0.0,0.0,1.0,BBC,0.0,RT @BBCNewsround: The UK's first heart transplant was carried out 50 years ago! ?? Find out more here ?https://t.co/L8P2Pzw5fa https://t.co…,94
94,2018-05-03 12:02:20+00:00,0.7769,0.0,0.639,BBC,0.361,"RT @bbcideas: Meet the unsung heroine of early animation ?

More unsung heroines: https://t.co/B4DBsLSOU2 https://t.co/JW9myCTeZb",95
95,2018-05-03 12:02:13+00:00,0.0,0.0,1.0,BBC,0.0,"RT @bbcpress: ? The sun's (sort-of) out and it's time for @BBCTwo to show off its #ComedyShorts! Four new specials from @SaraPascoe, @TimKe…",96
96,2018-05-03 12:00:18+00:00,0.9103,0.0,0.545,BBC,0.455,"? This is adorable.

These children are so excited about the #RoyalWedding, they've created the love story of when… https://t.co/PPWMz5pBky",97
97,2018-05-03 11:33:51+00:00,0.0,0.0,1.0,BBC,0.0,RT @bbccomedy: Tony Blur vs Oasis  #CunkonBritain https://t.co/s0XsciaUPz,98
98,2018-05-03 11:00:01+00:00,0.0,0.0,1.0,BBC,0.0,"'When you reclaim the word fat, it takes the power away.' https://t.co/Wquds5gXH1",99
99,2018-05-03 10:49:34+00:00,-0.4664,0.229,0.601,BBC,0.17,"RT @bbc5live: ""It's not all doom and gloom - it's about celebrating life""

Paul was told he had  incurable cancer in 2016 - this is his dia…",100
100,2018-05-07 17:50:20+00:00,0.0,0.0,1.0,CBS,0.0,"RT @KevinCanWaitCBS: Season 2 of #KevinCanWait comes to a close tonight, and @KevinJames and @LeahRemini have A LOT to say about it. https:…",1
101,2018-05-04 21:00:00+00:00,0.5093,0.0,0.87,CBS,0.13,Spend your Friday night with this dynamic duo! Tune in to the season finale of @MacGyverCBS at 8/7c on CBS and CBS… https://t.co/AfWUVo4GSu,2
102,2018-05-04 18:42:12+00:00,0.6996,0.0,0.775,CBS,0.225,RT @undercover_cbs: Get ready for the series premiere of #CelebrityBoss in just seven days! How would you react if your favorite celebrity…,3
103,2018-05-04 14:48:42+00:00,0.5562,0.0,0.736,CBS,0.264,The force is strong on the set of @bigbangtheory! #MayThe4thBeWithYou https://t.co/uYyXKtuVCM,4
104,2018-05-02 19:04:01+00:00,0.0,0.0,1.0,CBS,0.0,RT @thegoodfight: The fight's not over yet. #TheGoodFight is renewed for Season 3. https://t.co/gUrDeA5KQP,5
105,2018-05-01 23:10:50+00:00,0.0,0.0,1.0,CBS,0.0,RT @TKOCBS: Both @hwventure and @janemun have been named Executive Producers and showrunners of #TKO: TOTAL KNOCK OUT! Learn more about the…,6
106,2018-05-01 17:58:51+00:00,0.0,0.0,1.0,CBS,0.0,"RT @StrangeAngel: Sex. Magick. Rocket Science. #StrangeAngel launches June 14, only on CBS All Access. https://t.co/I3sqWMASxl https://t.co…",7
107,2018-05-01 15:16:28+00:00,0.8268,0.0,0.701,CBS,0.299,"Broadway's Biggest Night will honor the best in theatre on Sunday, June 10! Here are the nominees for the… https://t.co/tCiNaLGIvq",8
108,2018-04-30 22:54:18+00:00,0.8777,0.0,0.627,CBS,0.373,We congratulate all of our CBS #DaytimeEmmy Award winners! Check out the stars who joined @TheTalkCBS hosts to cele… https://t.co/JfUFINmYGH,9
109,2018-04-30 13:28:01+00:00,0.0,0.0,1.0,CBS,0.0,RT @KevinJames: Getting the band back together @AdamSandler @chrisrock @MikeDelguidice1 @KevinCanWaitCBS #KevinCanWait https://t.co/Mo5EWck…,10
110,2018-04-30 02:22:08+00:00,0.3818,0.0,0.86,CBS,0.14,See all of the stunning fashion looks from the @CBSDaytime stars on the #DaytimeEmmys red carpet:… https://t.co/iJN1ssGPvZ,11
111,2018-04-29 15:30:00+00:00,0.8356,0.0,0.67,CBS,0.33,The 45th annual #DaytimeEmmys are here! Congratulations to all of the wonderful @CBSDaytime stars and shows nominat… https://t.co/xZhDSYnxL6,12
112,2018-04-26 23:40:24+00:00,0.0,0.0,1.0,CBS,0.0,These stars are going undercover for #CelebrityBoss! Find out more about Celebrity @undercover_cbs premiering May 1… https://t.co/Deyn76ADT9,13
113,2018-04-25 21:48:49+00:00,0.75,0.0,0.687,CBS,0.313,"New courage. New hope. New season. 

Season 3 of @CodeBlackCBS premieres TONIGHT at 10/9c on CBS! https://t.co/rR8xUCKlzI",14
114,2018-04-25 18:09:50+00:00,0.5719,0.0,0.837,CBS,0.163,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,15
115,2018-04-25 16:55:33+00:00,0.6239,0.0,0.779,CBS,0.221,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",16
116,2018-04-23 21:03:22+00:00,0.6696,0.0,0.756,CBS,0.244,Who’s ready to see these moves? ? Tune in to the @latelateshow’s Carpool Karaoke Primetime Special TONIGHT at 10/9c! https://t.co/gjrURqXaPN,17
117,2018-04-22 16:00:03+00:00,0.4019,0.0,0.863,CBS,0.137,"The 53rd #ACMawards turned into one big party when @KeithUrban and @juliamichaels performed their upbeat single ""Co… https://t.co/Q3Zj3EzuNs",18
118,2018-04-20 22:00:01+00:00,-0.4019,0.105,0.895,CBS,0.0,A blind date was all it took. Learn more about Meghan Markle and her road to royalty from the people who know her b… https://t.co/fEAMUblPQ4,19
119,2018-04-20 17:34:37+00:00,0.0,0.0,1.0,CBS,0.0,RT @carrieunderwood: ICYMI! Watch Carrie’s performance of #CryPretty from the #ACMawards below! -TeamCU https://t.co/T9I3ko2xFu,20
120,2018-04-19 20:00:00+00:00,0.0,0.0,1.0,CBS,0.0,There's a new addition to the cast of the upcoming revival of Murphy Brown!  Learn more about Tyne Daly's character… https://t.co/ijSXSLyDaR,21
121,2018-04-19 19:00:02+00:00,0.4877,0.0,0.826,CBS,0.174,"Country superstar @LukeBryanOnline delivers his moving anthem ""Most People Are Good"" at the 53rd #ACMawards:… https://t.co/GhhAsEDqmq",22
122,2018-04-19 17:08:44+00:00,0.4939,0.0,0.868,CBS,0.132,"Coming to CBS All Access June 14, #StrangeAngel is inspired by the real life story of Jack Parsons and explores the… https://t.co/IsPrXRNXye",23
